DEPTH;CAL;DT;GR;NPHI;ILD;RHOB;SP;porosite;K
1143.75000;9.77900;130.16000;72.64900;0.43400;.89600;2.26200;1.99600;0.218180547085219;1570.94226158633
1143.80005;9.76860;130.04712;72.29785;0.43460;.91101;2.25337;1.88623;0.228833804691454;1697.3868208429
1143.89832;9.74815;129.82593;71.60889;0.43578;.94049;2.23648;1.67090;0.245775934849458;1910.88808620974
1144.00000;9.72700;129.59700;70.89600;0.43700;.97100;2.21900;1.44800;0.258241786872911;2077.71435887693
1144.11157;9.73236;129.69696;69.46973;0.43209;1.03662;2.20874;1.16553;0.26493829637569;2170.73876604253
1144.20007;9.73661;129.77631;68.33887;0.42820;1.08868;2.20059;.94141;0.274704616448773;2310.67610612691
1144.25000;9.73900;129.82100;67.70000;0.42600;1.11800;2.19600;.81500;0.283994055244371;2448.48106618656
1144.32471;9.67749;130.16943;66.68652;0.41673;1.22058;2.18584;.63867;0.295522678774868;2625.87579154217
1144.40002;9.61542;130.52100;65.66406;0.40739;1.32397;2.17560;.46094;0.300470004088088;2704.16673565872
1144.50000;9.53300;130.98801;64.30800;0.39500;1.46100;2.16200;.22500;0.309055882680217;2843.12192577398
1144.53613;9.52100;131.85742;63.84766;0.38965;1.57056;2.15723;.18274;0.327695556111103;3158.26353509801
1144.59998;9.49982;133.39258;63.03516;0.38020;1.76416;2.14880;.10828;0.32856325701749;3173.38446461219
1144.74316;9.45227;136.83594;61.21094;0.35901;2.19824;2.12990;-.05896;0.331389325773378;3222.90585326464
1144.75000;9.45000;137.00000;61.12400;0.35800;2.21900;2.12900;-.06700;0.33940410549579;3365.65625226794
1144.80005;9.45860;138.42188;60.96753;0.34979;2.21900;2.12460;.03564;0.342698273849946;3425.31749588266
1144.94177;9.48299;142.44336;60.52417;0.32655;2.21900;2.11212;.32593;0.362798066140761;3801.83342652713
1145.00000;9.49300;144.09399;60.34200;0.31700;2.21900;2.10700;.44500;0.334889125319558;3284.82125513453
1145.13245;9.49194;149.73047;59.47461;0.31541;2.57812;2.09800;.44500;0.340700720078115;3389.07142718387
1145.20007;9.49140;152.60938;59.03174;0.31460;2.76147;2.09340;.44500;0.346584380721601;3496.44124864257
1145.25000;9.49100;154.73500;58.70500;0.31400;2.89700;2.09000;.44500;0.353866978646597;3631.88567760435
1145.31653;9.48781;156.72266;58.05957;0.31693;2.89673;2.10384;.44500;0.361933680615816;3785.20078422484
