CAL,DT,GR,NPHI,ILD,RHOB,SP,porosite,K,Well Name,logK
11.32324,144.19434,81.99658,0.51044,0.667,2.10412,7.23157,0.232993093429789,1748.38039494506,p5,3.2426359279852455
11.435,144.57001,83.006,0.51098,0.667,2.107,7.299,0.228461585397619,1692.85847815424,p5,3.2286206528958763
11.435,144.58765,83.06836,0.51116,0.6667,2.1076,7.3002,0.228157430062416,1689.17088373197,p5,3.227673586875816
11.435,144.69995,83.4707,0.51232,0.66476,2.11148,7.30795,0.226178451459833,1665.29761782626,p5,3.221491860802709
11.435,144.69995,83.4707,0.51232,0.66476,2.11148,7.30795,0.226178451459833,1665.29761782626,p5,3.221491860802709
11.435,144.90552,84.20703,0.51445,0.66121,2.11858,7.32214,0.222491015909724,1621.36929756025,p5,3.2098819449077225
11.435,144.98755,84.5,0.51529,0.6598,2.1214,7.32777,0.220997741776161,1603.78537546833,p5,3.2051462489316993
11.435,144.98779,84.50098,0.51529,0.6598,2.12141,7.3278,0.220991963421554,1603.71756296972,p5,3.2051278853669447
11.435,145.092,84.874,0.51637,0.658,2.125,7.335,0.219071983685077,1581.2836003141,p5,3.1990097668367103
11.42969,145.13245,85.56738,0.51909,0.658,2.13107,7.335,0.215637356618246,1541.64018330447,p5,3.18798302180824
11.42938,145.13477,85.60742,0.51925,0.658,2.13142,7.335,0.215436946439338,1539.34633650197,p5,3.1873363424499757
11.42938,145.13477,85.60742,0.51925,0.658,2.13142,7.335,0.215436946439338,1539.34633650197,p5,3.1873363424499757
11.4224,145.18799,86.51855,0.52283,0.658,2.1394,7.335,0.210774182795323,1486.57954375472,p5,3.172188152349905
11.41689,145.22992,87.2373,0.52565,0.658,2.1457,7.335,0.206973805921718,1444.42605371181,p5,3.159695313375133
11.414,145.252,87.614,0.52713,0.658,2.149,7.335,0.204938430284571,1422.16520284194,p5,3.152950048232943
11.38342,145.13489,86.64453,0.52959,0.66171,2.15242,7.33385,0.210142701867694,1479.52214936017,p5,3.170121471201887
11.38342,145.13489,86.64453,0.52959,0.66171,2.15242,7.33385,0.210142701867694,1479.52214936017,p5,3.170121471201887
11.37122,145.08801,86.25684,0.53057,0.6632,2.15379,7.3334,0.212167607333523,1502.2275705119,p5,3.1767357283613396
11.37115,145.08789,86.25488,0.53057,0.6632,2.1538,7.3334,0.212176282002882,1502.3253083334,p5,3.1767639834783417
11.36346,145.05847,86.01172,0.53119,0.66414,2.15466,7.33311,0.21343180932914,1516.51357035894,p5,3.1808463009016354
11.307,144.842,84.22,0.53574,0.671,2.161,7.331,0.22232694417453,1619.43169738624,p5,3.209362635536191
